Word,Count
?Tell,11
shiny,33
shoes,32
pacing,28
ignore,39
.we,25
!Didnt,5
swear,46
?That,38
.Wheres,44
squeezed,40
.Whos,45
shortly,83
burned,65
.SILENCE,1
!yelled,63
deep,232
breaths,15
forced,166
painful,49
.youre,10
!snapped,15
.Take,43
bedrooms,3
visitors,24
toys,2
trip,41
monthold,1
lying,217
working,131
firstever,2
foot,211
program,10
canceled,11
birdcage,3
parrot,2
swapped,13
rifle,2
shelf,31
.Other,12
shelves,48
touched,71
.From,57
downstairs,87
bawling,5
need,588
.make,5
sighed,81
stretched,102
.Yesterday,2
.Today,12
whacked,4
purpose,30
thrown,94
tortoise,5
greenhouse,18
bitterly,54
darkly,52
banging,29
Theres,18
!,14
‘Mr,1
Smallest,1
Bedroom,1
With,15
strangled,17
wrestle,5
confused,68
fighting,105
straightened,56
gasping,18
breath,241
.Go,82
wheezed,6
.Someone,46
.Surely,22
meant,170
try,298
fail,26
plan,122
repaired,17
alarm,37
clock,47
six,118
mustnt,29
stole,32
wait,179
postman,4
hammered,9
aaRRRGH,1
trodden,7
squashy,12
alive,140
Lights,2
uncles,18
clearly,175
making,299
miserably,42
lap,53
tearing,25
pieces,46
stayed,48
nailed,5
.See,81
explained,71
mouthful,15
nails,12
deliver,17
theyll,85
thatll,21
minds,39
ways,48
knock,47
nail,6
piece,126
fruitcake,5
brought,157
Friday,25
pushed,157
slotted,1
sides,46
hammer,3
boarded,15
cracks,8
Tiptoe,1
Through,9
Tulips,1
worked,107
jumped,147
noises,48
.Twentyfour,1
milkman,2
post,59
dairy,1
shredded,6
processor,1
earth,97
badly,89
amazement,29
•k,6
On,7
Sunday,22
Sundays,1
cheerfully,24
spread,61
marmalade,9
newspapers,12
damn,18
Something,5
whizzing,9
forty,7
pelting,13
fireplace,67
bullets,3
ducked,39
Out,2
!OUT,6
!Uncle,4
waist,19
faces,152
shut,232
bouncing,25
tufts,2
.Were,144
pack,37
arguments,7
missing,74
wrenched,49
boardedup,2
speeding,29
highway,2
sniffling,1
sports,4
.Even,98
opposite,126
.Shake,2
em,135
.shake,1
mutter,10
whenever,54
eat,79
drink,106
nightfall,7
howling,32
hungry,41
programs,3
blowing,20
alien,1
gloomy,25
hotel,2
outskirts,7
city,6
shared,18
twin,30
beds,44
damp,37
musty,7
sheets,17
